,path,items,AGM
0,GZIP_y2016_s5000/CIK__1000045__serial__885410__date__2016-07-06.txt.gz,False,True
1,GZIP_y2016_s5000/CIK__1000180__serial__846826__date__2016-01-27.txt.gz,False,False
2,GZIP_y2016_s5000/CIK__1000209__serial__865038__date__2016-05-06.txt.gz,False,False
3,GZIP_y2016_s5000/CIK__1000209__serial__865040__date__2016-05-20.txt.gz,False,False
4,GZIP_y2016_s5000/CIK__1000209__serial__885417__date__2016-08-05.txt.gz,False,False
5,GZIP_y2016_s5000/CIK__1000209__serial__902462__date__2016-12-19.txt.gz,False,False
6,GZIP_y2016_s5000/CIK__1000228__serial__865045__date__2016-05-03.txt.gz,False,False
7,GZIP_y2016_s5000/CIK__1000229__serial__846838__date__2016-01-27.txt.gz,False,False
8,GZIP_y2016_s5000/CIK__1000623__serial__846849__date__2016-02-17.txt.gz,False,False
9,GZIP_y2016_s5000/CIK__1000623__serial__846850__date__2016-02-18.txt.gz,False,False
10,GZIP_y2016_s5000/CIK__1000623__serial__902472__date__2016-10-14.txt.gz,True,False
11,GZIP_y2016_s5000/CIK__1000683__serial__902476__date__2016-12-01.txt.gz,False,False
12,GZIP_y2016_s5000/CIK__1000694__serial__865064__date__2016-06-10.txt.gz,False,False
13,GZIP_y2016_s5000/CIK__1000697__serial__865065__date__2016-04-26.txt.gz,False,False
14,GZIP_y2016_s5000/CIK__1000697__serial__885441__date__2016-07-26.txt.gz,False,False
15,GZIP_y2016_s5000/CIK__1000753__serial__846864__date__2016-02-12.txt.gz,False,False
16,GZIP_y2016_s5000/CIK__1000753__serial__865068__date__2016-04-01.txt.gz,True,False
17,GZIP_y2016_s5000/CIK__1000753__serial__865069__date__2016-04-04.txt.gz,True,False
18,GZIP_y2016_s5000/CIK__1001082__serial__885449__date__2016-08-08.txt.gz,False,False
19,GZIP_y2016_s5000/CIK__1001115__serial__846872__date__2016-01-26.txt.gz,False,False
20,GZIP_y2016_s5000/CIK__1001250__serial__902497__date__2016-11-14.txt.gz,False,False
21,GZIP_y2016_s5000/CIK__1001258__serial__865088__date__2016-05-19.txt.gz,False,False
22,GZIP_y2016_s5000/CIK__1001288__serial__865090__date__2016-04-20.txt.gz,False,True
23,GZIP_y2016_s5000/CIK__1002517__serial__846920__date__2016-02-02.txt.gz,True,False
24,GZIP_y2016_s5000/CIK__1002517__serial__865127__date__2016-05-11.txt.gz,False,False
25,GZIP_y2016_s5000/CIK__1002590__serial__846925__date__2016-01-20.txt.gz,False,False
26,GZIP_y2016_s5000/CIK__1002638__serial__865137__date__2016-05-31.txt.gz,False,False
27,GZIP_y2016_s5000/CIK__1002638__serial__902540__date__2016-12-12.txt.gz,False,False
28,GZIP_y2016_s5000/CIK__1002638__serial__902541__date__2016-12-15.txt.gz,False,False
29,GZIP_y2016_s5000/CIK__1002910__serial__902547__date__2016-12-06.txt.gz,False,False
30,GZIP_y2016_s5000/CIK__1003201__serial__846934__date__2016-02-23.txt.gz,True,False
31,GZIP_y2016_s5000/CIK__1003410__serial__846940__date__2016-03-28.txt.gz,True,False
32,GZIP_y2016_s5000/CIK__1003509__serial__902563__date__2016-11-01.txt.gz,False,False
33,GZIP_y2016_s5000/CIK__1004155__serial__865168__date__2016-05-05.txt.gz,False,False
34,GZIP_y2016_s5000/CIK__1004155__serial__885526__date__2016-07-01.txt.gz,True,True
35,GZIP_y2016_s5000/CIK__1004673__serial__902578__date__2016-11-23.txt.gz,False,False
36,GZIP_y2016_s5000/CIK__1004702__serial__846966__date__2016-01-08.txt.gz,False,True
37,GZIP_y2016_s5000/CIK__1004702__serial__885539__date__2016-07-14.txt.gz,False,True
38,GZIP_y2016_s5000/CIK__1004724__serial__846971__date__2016-01-12.txt.gz,False,False
39,GZIP_y2016_s5000/CIK__1004724__serial__846974__date__2016-03-29.txt.gz,False,False
40,GZIP_y2016_s5000/CIK__1004724__serial__902588__date__2016-12-08.txt.gz,False,False
41,GZIP_y2016_s5000/CIK__10048_0__serial__846978__date__2016-03-03.txt.gz,False,False
42,GZIP_y2016_s5000/CIK__10048_0__serial__865196__date__2016-04-28.txt.gz,False,False
43,GZIP_y2016_s5000/CIK__10048_0__serial__902592__date__2016-12-22.txt.gz,False,False
44,GZIP_y2016_s5000/CIK__10048_0__serial__902593__date__2016-12-29.txt.gz,False,False
45,GZIP_y2016_s5000/CIK__100493___serial__902598__date__2016-12-16.txt.gz,True,False
46,GZIP_y2016_s5000/CIK__1004980__serial__865209__date__2016-06-02.txt.gz,False,False
47,GZIP_y2016_s5000/CIK__1004980__serial__865211__date__2016-06-27.txt.gz,False,False
48,GZIP_y2016_s5000/CIK__1004989__serial__846991__date__2016-03-30.txt.gz,False,False
49,GZIP_y2016_s5000/CIK__1005101__serial__846992__date__2016-02-02.txt.gz,False,False
50,GZIP_y2016_s5000/CIK__1005101__serial__865218__date__2016-06-08.txt.gz,False,False
51,GZIP_y2016_s5000/CIK__100517___serial__847001__date__2016-03-08.txt.gz,False,False
52,GZIP_y2016_s5000/CIK__100517___serial__865219__date__2016-04-08.txt.gz,False,False
53,GZIP_y2016_s5000/CIK__100517___serial__865228__date__2016-06-21.txt.gz,False,False
54,GZIP_y2016_s5000/CIK__100517___serial__885575__date__2016-08-18.txt.gz,False,False
55,GZIP_y2016_s5000/CIK__1005201__serial__865230__date__2016-04-25.txt.gz,False,False
56,GZIP_y2016_s5000/CIK__1005286__serial__865245__date__2016-05-31.txt.gz,True,False
57,GZIP_y2016_s5000/CIK__1005409__serial__902638__date__2016-12-28.txt.gz,True,False
58,GZIP_y2016_s5000/CIK__1005414__serial__902647__date__2016-12-13.txt.gz,False,False
59,GZIP_y2016_s5000/CIK__100548___serial__865257__date__2016-05-03.txt.gz,False,False
60,GZIP_y2016_s5000/CIK__1005699__serial__885608__date__2016-08-15.txt.gz,True,False
61,GZIP_y2016_s5000/CIK__1005699__serial__902651__date__2016-12-30.txt.gz,False,True
62,GZIP_y2016_s5000/CIK__1005817__serial__885613__date__2016-07-25.txt.gz,False,False
63,GZIP_y2016_s5000/CIK__1006028__serial__902662__date__2016-12-14.txt.gz,False,False
64,GZIP_y2016_s5000/CIK__100625___serial__865280__date__2016-04-15.txt.gz,False,False
65,GZIP_y2016_s5000/CIK__1006281__serial__847050__date__2016-03-03.txt.gz,False,False
66,GZIP_y2016_s5000/CIK__1006655__serial__847055__date__2016-01-06.txt.gz,True,False
67,GZIP_y2016_s5000/CIK__1006837__serial__865298__date__2016-04-14.txt.gz,True,False
68,GZIP_y2016_s5000/CIK__1006837__serial__885634__date__2016-08-03.txt.gz,False,False
69,GZIP_y2016_s5000/CIK__1006837__serial__902694__date__2016-12-20.txt.gz,False,False
70,GZIP_y2016_s5000/CIK__1006837__serial__902695__date__2016-12-29.txt.gz,False,False
71,GZIP_y2016_s5000/CIK__1007019__serial__865307__date__2016-06-03.txt.gz,False,False
72,GZIP_y2016_s5000/CIK__100726___serial__847065__date__2016-02-05.txt.gz,False,True
73,GZIP_y2016_s5000/CIK__1007273__serial__865314__date__2016-04-12.txt.gz,False,False
74,GZIP_y2016_s5000/CIK__1007330__serial__885643__date__2016-07-26.txt.gz,False,False
75,GZIP_y2016_s5000/CIK__1008586__serial__865328__date__2016-06-08.txt.gz,False,False
76,GZIP_y2016_s5000/CIK__1008848__serial__865335__date__2016-06-09.txt.gz,False,False
77,GZIP_y2016_s5000/CIK__1008848__serial__885655__date__2016-08-15.txt.gz,False,False
78,GZIP_y2016_s5000/CIK__1008848__serial__902713__date__2016-10-13.txt.gz,False,False
79,GZIP_y2016_s5000/CIK__100885___serial__847087__date__2016-01-21.txt.gz,False,False
80,GZIP_y2016_s5000/CIK__100885___serial__865339__date__2016-04-21.txt.gz,False,False
81,GZIP_y2016_s5000/CIK__100885___serial__885657__date__2016-08-05.txt.gz,False,False
82,GZIP_y2016_s5000/CIK__1009759__serial__902721__date__2016-10-18.txt.gz,False,False
